"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"SLC38A2","SLC38A2",NA,NA,NA,NA,0.00100912103078687,0.0235139023749106
"SEC22B","SEC22B",NA,NA,NA,NA,1.09488913048184e-05,0.00103595378922389
"N4BP2L2","N4BP2L2",NA,NA,NA,NA,0.00143866077144428,0.0293424696909678
"SUGT1","SUGT1",NA,NA,NA,NA,0.00024594911979392,0.00946514599025923
"RPL31","RPL31",NA,NA,NA,NA,0.000257756143282384,0.00974318221607411
"GALNT6","GALNT6",NA,NA,NA,NA,0.00322412169590425,0.0491734096672167
"CPNE1","CPNE1",NA,NA,NA,NA,0.00122133383585632,0.0260818975555432
"CYC1","CYC1",NA,NA,NA,NA,0.000413927418849158,0.0135309536281912
"ACSL3","ACSL3",NA,NA,NA,NA,0.00317873646408096,0.0489773979089767
"BAZ1B","BAZ1B",NA,NA,NA,NA,3.08565855694498e-05,0.00215110869072271
"DNAJC15","DNAJC15",NA,NA,NA,NA,0.00200045329605636,0.0357885655726261
"CBWD2","CBWD2",NA,NA,NA,NA,0.00114964975609688,0.0254372520455768
"RP11-848P1.4","RP11-848P1.4",NA,NA,NA,NA,0.00279095799038231,0.0452135194441935
"RBMX","RBMX",NA,NA,NA,NA,0.000562193526769117,0.0164141510295978
"IMPAD1","IMPAD1",NA,NA,NA,NA,0.00116344397950963,0.0254372520455768
"KIF20B","KIF20B",NA,NA,NA,NA,8.03009877424765e-05,0.00411421626957688
"C15orf48","C15orf48",NA,NA,NA,NA,2.54352094941623e-13,4.32652913495701e-10
"MLEC","MLEC",NA,NA,NA,NA,0.000198548993705971,0.00819737471587033
"WDR70","WDR70",NA,NA,NA,NA,5.65478467813296e-05,0.00322778145553831
"GAPDH","GAPDH",NA,NA,NA,NA,0.000253706861398473,0.00963293239372326
"CCT6A","CCT6A",NA,NA,NA,NA,4.43708388919717e-08,1.217335434762e-05
"NOP58","NOP58",NA,NA,NA,NA,3.46004546579737e-05,0.00230352602124172
"TSC22D1","TSC22D1",NA,NA,NA,NA,1.57194687111506e-06,0.000208897002169275
"ANXA4","ANXA4",NA,NA,NA,NA,2.62444235954451e-06,0.000323491047361247
"TMEM59","TMEM59",NA,NA,NA,NA,0.00236357782517671,0.0401242103854849
